,,Matches,Scored,Allowed,Ties,Allowed Per,Defense,Tie Chance,Goal Dif Per
A,Ecuador,18,27,19,5,1.056,0.947,0.278,0.444
A,Netherlands,10,33,8,2,0.8,1.25,0.2,2.5
A,Qatar,,,,,0,0,0,0
A,Senegal,6,15,4,1,0.667,1.499,0.167,1.833
B,England,10,39,3,2,0.3,3.333,0.2,3.6
B,Iran,10,15,4,1,0.4,2.5,0.1,1.1
B,United States,14,21,10,4,0.714,1.401,0.286,0.786
B,Wales,8,14,9,3,1.125,0.889,0.375,0.625
C,Argentina,17,27,8,6,0.471,2.123,0.353,1.118
C,Mexico,14,17,8,4,0.571,1.751,0.286,0.643
C,Poland,10,30,11,2,1.1,0.909,0.2,1.9
C,Saudi Arabia,10,12,6,2,0.6,1.667,0.2,0.6
D,Australia,10,15,9,3,0.9,1.111,0.3,0.6
D,Denmark,10,30,3,0,0.3,3.333,0,2.7
D,France,8,18,3,3,0.375,2.667,0.375,1.875
D,Tunisia,6,11,2,1,0.333,3.003,0.167,1.5
E,Costa Rica,14,13,8,4,0.571,1.751,0.286,0.357
E,Germany,10,36,4,0,0.4,2.5,0,3.2
E,Japan,10,12,4,1,0.4,2.5,0.1,0.8
E,Spain,8,15,5,1,0.625,1.6,0.125,1.25
F,Belgium,8,25,6,2,0.75,1.333,0.25,2.375
F,Canada,14,23,7,4,0.5,2,0.286,1.143
F,Croatia,10,21,4,2,0.4,2.5,0.2,1.7
F,Morocco,6,21,1,0,0.167,5.988,0,3.333
G,Brazil,17,40,5,3,0.294,3.401,0.176,2.059
G,Cameroon,6,12,3,0,0.5,2,0,1.5
G,Serbia,8,18,9,2,1.125,0.889,0.25,1.125
G,Switzerland,8,15,2,3,0.25,4,0.375,1.625
H,Ghana,6,7,3,1,0.5,2,0.167,0.667
H,Portugal,8,17,6,2,0.75,1.333,0.25,1.375
H,South Korea,10,13,3,2,0.3,3.333,0.2,1
H,Uruguay,18,22,22,4,1.222,0.818,0.222,0
